[autodl] run_id=20260913-161818-taisp-t018b-source500
[autodl] started_at=2026-09-13T16:18:24+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/liujianhua/wjq/TAISP/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
completed 75/500 image_id=333756 elapsed=412.2s
completed 76/500 image_id=509553 elapsed=417.7s
completed 77/500 image_id=100757 elapsed=423.5s
completed 78/500 image_id=495786 elapsed=429.1s
completed 79/500 image_id=312352 elapsed=434.8s
completed 80/500 image_id=203252 elapsed=440.5s
completed 81/500 image_id=380557 elapsed=446.1s
completed 82/500 image_id=423023 elapsed=451.8s
completed 83/500 image_id=451519 elapsed=457.3s
completed 84/500 image_id=150652 elapsed=462.4s
completed 85/500 image_id=497402 elapsed=468.0s
completed 86/500 image_id=578449 elapsed=473.5s
completed 87/500 image_id=310680 elapsed=479.0s
completed 88/500 image_id=494486 elapsed=484.5s
completed 89/500 image_id=336102 elapsed=490.0s
completed 90/500 image_id=55637 elapsed=495.7s
completed 91/500 image_id=529857 elapsed=501.3s
completed 92/500 image_id=392115 elapsed=506.6s
completed 93/500 image_id=489029 elapsed=512.0s
completed 94/500 image_id=503068 elapsed=516.8s
completed 95/500 image_id=237333 elapsed=521.9s
completed 96/500 image_id=160331 elapsed=527.4s
completed 97/500 image_id=369418 elapsed=533.1s
completed 98/500 image_id=118806 elapsed=538.3s
completed 99/500 image_id=118788 elapsed=543.9s
completed 100/500 image_id=354738 elapsed=549.5s
completed 101/500 image_id=7789 elapsed=555.1s
completed 102/500 image_id=157593 elapsed=560.6s
completed 103/500 image_id=529188 elapsed=566.1s
completed 104/500 image_id=461208 elapsed=571.6s
completed 105/500 image_id=17324 elapsed=577.1s
completed 106/500 image_id=220241 elapsed=582.6s
completed 107/500 image_id=421338 elapsed=588.1s
completed 108/500 image_id=547470 elapsed=593.8s
completed 109/500 image_id=234006 elapsed=599.3s
completed 110/500 image_id=323258 elapsed=604.7s
completed 111/500 image_id=293853 elapsed=610.4s
completed 112/500 image_id=4108 elapsed=615.7s
completed 113/500 image_id=42339 elapsed=621.1s
completed 114/500 image_id=59526 elapsed=626.1s
completed 115/500 image_id=48900 elapsed=631.5s
completed 116/500 image_id=282900 elapsed=637.0s
completed 117/500 image_id=492465 elapsed=642.7s
completed 118/500 image_id=87225 elapsed=648.2s
completed 119/500 image_id=84757 elapsed=653.6s
completed 120/500 image_id=501785 elapsed=658.8s
completed 121/500 image_id=66767 elapsed=664.3s
completed 122/500 image_id=298773 elapsed=669.6s
completed 123/500 image_id=407381 elapsed=674.9s
completed 124/500 image_id=84890 elapsed=680.0s
completed 125/500 image_id=272489 elapsed=685.2s
completed 126/500 image_id=78113 elapsed=690.7s
completed 127/500 image_id=354569 elapsed=696.1s
completed 128/500 image_id=504599 elapsed=701.7s
completed 129/500 image_id=328780 elapsed=706.9s
completed 130/500 image_id=259960 elapsed=712.4s
completed 131/500 image_id=50323 elapsed=717.9s
completed 132/500 image_id=196928 elapsed=723.4s
completed 133/500 image_id=310193 elapsed=728.7s
completed 134/500 image_id=350344 elapsed=734.1s
completed 135/500 image_id=58172 elapsed=739.4s
completed 136/500 image_id=335395 elapsed=745.0s
completed 137/500 image_id=410380 elapsed=750.7s
completed 138/500 image_id=463600 elapsed=756.2s
completed 139/500 image_id=332990 elapsed=761.7s
completed 140/500 image_id=241100 elapsed=767.4s
completed 141/500 image_id=163743 elapsed=773.1s
completed 142/500 image_id=464814 elapsed=778.8s
completed 143/500 image_id=578055 elapsed=784.3s
completed 144/500 image_id=565947 elapsed=789.5s
completed 145/500 image_id=513850 elapsed=795.0s
completed 146/500 image_id=200205 elapsed=800.7s
completed 147/500 image_id=242073 elapsed=806.2s
completed 148/500 image_id=479467 elapsed=811.7s
completed 149/500 image_id=70642 elapsed=816.8s
completed 150/500 image_id=180397 elapsed=822.3s
completed 151/500 image_id=214133 elapsed=827.8s
completed 152/500 image_id=113949 elapsed=833.5s
completed 153/500 image_id=387169 elapsed=839.0s
completed 154/500 image_id=297880 elapsed=844.4s
completed 155/500 image_id=457086 elapsed=850.0s
completed 156/500 image_id=85171 elapsed=855.3s
completed 157/500 image_id=65806 elapsed=860.7s
completed 158/500 image_id=152994 elapsed=865.9s
completed 159/500 image_id=300705 elapsed=871.3s
completed 160/500 image_id=552851 elapsed=876.7s
completed 161/500 image_id=233263 elapsed=882.3s
completed 162/500 image_id=25628 elapsed=887.8s
completed 163/500 image_id=221770 elapsed=893.5s
completed 164/500 image_id=338518 elapsed=899.0s
completed 165/500 image_id=373440 elapsed=904.0s
completed 166/500 image_id=536935 elapsed=908.9s
completed 167/500 image_id=479075 elapsed=914.0s
completed 168/500 image_id=491857 elapsed=919.5s
completed 169/500 image_id=518701 elapsed=924.5s
completed 170/500 image_id=54796 elapsed=929.9s
completed 171/500 image_id=44039 elapsed=935.2s
completed 172/500 image_id=496768 elapsed=940.7s
completed 173/500 image_id=575355 elapsed=945.8s
completed 174/500 image_id=224894 elapsed=951.2s
completed 175/500 image_id=455112 elapsed=956.9s
completed 176/500 image_id=508025 elapsed=962.3s
completed 177/500 image_id=284664 elapsed=967.7s
completed 178/500 image_id=478778 elapsed=973.1s
completed 179/500 image_id=241955 elapsed=978.6s
completed 180/500 image_id=70889 elapsed=984.1s
completed 181/500 image_id=375659 elapsed=989.6s
completed 182/500 image_id=251772 elapsed=995.3s
completed 183/500 image_id=379865 elapsed=1000.8s
completed 184/500 image_id=323115 elapsed=1006.0s
completed 185/500 image_id=574915 elapsed=1011.4s
completed 186/500 image_id=390286 elapsed=1016.8s
completed 187/500 image_id=100588 elapsed=1022.4s
completed 188/500 image_id=578047 elapsed=1027.9s
completed 189/500 image_id=101401 elapsed=1033.1s
completed 190/500 image_id=477273 elapsed=1038.4s
completed 191/500 image_id=408190 elapsed=1043.5s
completed 192/500 image_id=363736 elapsed=1049.2s
completed 193/500 image_id=396779 elapsed=1054.7s
completed 194/500 image_id=380299 elapsed=1060.3s
completed 195/500 image_id=98582 elapsed=1065.8s
completed 196/500 image_id=373342 elapsed=1071.6s
completed 197/500 image_id=524470 elapsed=1076.7s
completed 198/500 image_id=422354 elapsed=1082.3s
completed 199/500 image_id=286254 elapsed=1087.9s
completed 200/500 image_id=126409 elapsed=1093.5s
completed 201/500 image_id=58101 elapsed=1099.0s
completed 202/500 image_id=510424 elapsed=1104.9s
completed 203/500 image_id=187592 elapsed=1110.4s
completed 204/500 image_id=378081 elapsed=1115.8s
completed 205/500 image_id=552752 elapsed=1121.5s
completed 206/500 image_id=101531 elapsed=1127.0s
completed 207/500 image_id=235131 elapsed=1132.5s
completed 208/500 image_id=385707 elapsed=1138.0s
completed 209/500 image_id=65213 elapsed=1143.1s
completed 210/500 image_id=171231 elapsed=1148.8s
completed 211/500 image_id=549301 elapsed=1154.2s
completed 212/500 image_id=378921 elapsed=1159.6s
completed 213/500 image_id=533596 elapsed=1165.1s
completed 214/500 image_id=18347 elapsed=1170.1s
completed 215/500 image_id=565938 elapsed=1175.4s
completed 216/500 image_id=86924 elapsed=1180.6s
completed 217/500 image_id=72989 elapsed=1185.9s
completed 218/500 image_id=538875 elapsed=1191.1s
completed 219/500 image_id=67126 elapsed=1196.6s
completed 220/500 image_id=320503 elapsed=1201.3s
completed 221/500 image_id=509350 elapsed=1206.7s
completed 222/500 image_id=347766 elapsed=1211.8s
completed 223/500 image_id=116503 elapsed=1216.9s
completed 224/500 image_id=98881 elapsed=1221.9s
completed 225/500 image_id=341695 elapsed=1227.2s
completed 226/500 image_id=362373 elapsed=1232.7s
completed 227/500 image_id=302710 elapsed=1237.9s
completed 228/500 image_id=241178 elapsed=1243.3s
completed 229/500 image_id=370234 elapsed=1248.6s
completed 230/500 image_id=473119 elapsed=1253.3s
completed 231/500 image_id=393086 elapsed=1258.3s
completed 232/500 image_id=410772 elapsed=1263.3s
completed 233/500 image_id=385837 elapsed=1268.6s
completed 234/500 image_id=217269 elapsed=1273.6s
completed 235/500 image_id=251096 elapsed=1278.9s
completed 236/500 image_id=177060 elapsed=1284.0s
completed 237/500 image_id=23258 elapsed=1289.3s
completed 238/500 image_id=429759 elapsed=1294.7s
completed 239/500 image_id=453785 elapsed=1299.8s
completed 240/500 image_id=377807 elapsed=1304.3s
completed 241/500 image_id=186336 elapsed=1309.1s
completed 242/500 image_id=93314 elapsed=1314.1s
completed 243/500 image_id=465702 elapsed=1319.1s
completed 244/500 image_id=178510 elapsed=1323.9s
completed 245/500 image_id=27718 elapsed=1329.3s
completed 246/500 image_id=103873 elapsed=1333.9s
completed 247/500 image_id=343282 elapsed=1339.0s
completed 248/500 image_id=341696 elapsed=1344.5s
completed 249/500 image_id=85045 elapsed=1349.9s
completed 250/500 image_id=236316 elapsed=1355.2s
completed 251/500 image_id=144200 elapsed=1360.5s
completed 252/500 image_id=61025 elapsed=1365.8s
completed 253/500 image_id=312596 elapsed=1370.5s
completed 254/500 image_id=70087 elapsed=1375.3s
completed 255/500 image_id=568311 elapsed=1380.5s
completed 256/500 image_id=68277 elapsed=1385.7s
completed 257/500 image_id=391033 elapsed=1391.3s
completed 258/500 image_id=441921 elapsed=1396.4s
completed 259/500 image_id=169377 elapsed=1402.1s
completed 260/500 image_id=232540 elapsed=1407.6s
completed 261/500 image_id=301597 elapsed=1413.1s
completed 262/500 image_id=306990 elapsed=1418.7s
completed 263/500 image_id=218855 elapsed=1424.1s
completed 264/500 image_id=134351 elapsed=1429.8s
completed 265/500 image_id=106994 elapsed=1435.4s
completed 266/500 image_id=498397 elapsed=1440.8s
completed 267/500 image_id=283139 elapsed=1446.3s
completed 268/500 image_id=315407 elapsed=1451.9s
completed 269/500 image_id=455037 elapsed=1457.4s
completed 270/500 image_id=486350 elapsed=1462.8s
completed 271/500 image_id=100434 elapsed=1468.4s
completed 272/500 image_id=69266 elapsed=1474.0s
completed 273/500 image_id=2849 elapsed=1479.2s
completed 274/500 image_id=370209 elapsed=1484.4s
completed 275/500 image_id=66828 elapsed=1489.9s
completed 276/500 image_id=10591 elapsed=1495.6s
completed 277/500 image_id=160171 elapsed=1501.1s
completed 278/500 image_id=48791 elapsed=1506.6s
completed 279/500 image_id=334588 elapsed=1512.1s
completed 280/500 image_id=254420 elapsed=1517.7s
completed 281/500 image_id=54750 elapsed=1523.4s
completed 282/500 image_id=343634 elapsed=1528.8s
completed 283/500 image_id=558092 elapsed=1534.2s
completed 284/500 image_id=120155 elapsed=1539.9s
completed 285/500 image_id=529562 elapsed=1545.4s
completed 286/500 image_id=320660 elapsed=1550.9s
completed 287/500 image_id=235670 elapsed=1555.9s
completed 288/500 image_id=366081 elapsed=1561.8s
completed 289/500 image_id=66642 elapsed=1567.4s
completed 290/500 image_id=554273 elapsed=1573.1s
completed 291/500 image_id=140307 elapsed=1578.7s
completed 292/500 image_id=480065 elapsed=1584.1s
completed 293/500 image_id=72605 elapsed=1589.5s
completed 294/500 image_id=396495 elapsed=1595.0s
completed 295/500 image_id=107150 elapsed=1600.6s
completed 296/500 image_id=294380 elapsed=1605.8s
completed 297/500 image_id=332549 elapsed=1611.1s
completed 298/500 image_id=119244 elapsed=1616.4s
completed 299/500 image_id=576549 elapsed=1621.4s
completed 300/500 image_id=467604 elapsed=1626.8s
completed 301/500 image_id=573969 elapsed=1632.4s
completed 302/500 image_id=6407 elapsed=1637.9s
completed 303/500 image_id=272235 elapsed=1643.4s
completed 304/500 image_id=430925 elapsed=1648.9s
completed 305/500 image_id=488033 elapsed=1654.6s
completed 306/500 image_id=246646 elapsed=1659.9s
completed 307/500 image_id=170035 elapsed=1665.6s
completed 308/500 image_id=475881 elapsed=1671.1s
completed 309/500 image_id=241392 elapsed=1676.9s
completed 310/500 image_id=1393 elapsed=1682.5s
completed 311/500 image_id=330637 elapsed=1688.1s
completed 312/500 image_id=84312 elapsed=1693.6s
completed 313/500 image_id=560384 elapsed=1699.1s
completed 314/500 image_id=356086 elapsed=1704.8s
completed 315/500 image_id=55447 elapsed=1710.5s
completed 316/500 image_id=202178 elapsed=1716.0s
completed 317/500 image_id=484186 elapsed=1721.6s
completed 318/500 image_id=201496 elapsed=1727.4s
completed 319/500 image_id=93116 elapsed=1733.1s
completed 320/500 image_id=570185 elapsed=1738.6s
completed 321/500 image_id=414027 elapsed=1744.3s
completed 322/500 image_id=473256 elapsed=1749.8s
completed 323/500 image_id=264236 elapsed=1755.3s
completed 324/500 image_id=563477 elapsed=1761.0s
completed 325/500 image_id=446801 elapsed=1766.5s
completed 326/500 image_id=158036 elapsed=1771.8s
completed 327/500 image_id=183692 elapsed=1777.3s
completed 328/500 image_id=513456 elapsed=1782.7s
completed 329/500 image_id=95908 elapsed=1788.1s
completed 330/500 image_id=131335 elapsed=1793.6s
completed 331/500 image_id=342307 elapsed=1799.1s
completed 332/500 image_id=468011 elapsed=1804.7s
completed 333/500 image_id=356302 elapsed=1810.2s
completed 334/500 image_id=167863 elapsed=1815.7s
completed 335/500 image_id=48939 elapsed=1821.7s
completed 336/500 image_id=322324 elapsed=1827.2s
completed 337/500 image_id=16950 elapsed=1832.8s
completed 338/500 image_id=568587 elapsed=1838.1s
completed 339/500 image_id=13914 elapsed=1843.4s
completed 340/500 image_id=143224 elapsed=1849.0s
completed 341/500 image_id=154154 elapsed=1854.7s
completed 342/500 image_id=210344 elapsed=1860.2s
completed 343/500 image_id=595 elapsed=1865.7s
completed 344/500 image_id=126833 elapsed=1871.4s
completed 345/500 image_id=511751 elapsed=1877.1s
completed 346/500 image_id=422269 elapsed=1882.6s
completed 347/500 image_id=549644 elapsed=1888.2s
completed 348/500 image_id=461226 elapsed=1893.9s
completed 349/500 image_id=307263 elapsed=1899.3s
completed 350/500 image_id=120697 elapsed=1905.0s
completed 351/500 image_id=40407 elapsed=1910.7s
completed 352/500 image_id=61755 elapsed=1916.3s
completed 353/500 image_id=532780 elapsed=1922.0s
completed 354/500 image_id=282670 elapsed=1927.7s
completed 355/500 image_id=248879 elapsed=1933.1s
completed 356/500 image_id=248957 elapsed=1938.6s
completed 357/500 image_id=129097 elapsed=1944.1s
completed 358/500 image_id=23038 elapsed=1949.8s
completed 359/500 image_id=449088 elapsed=1955.3s
completed 360/500 image_id=121142 elapsed=1960.9s
completed 361/500 image_id=196021 elapsed=1966.3s
completed 362/500 image_id=80168 elapsed=1971.8s
completed 363/500 image_id=449947 elapsed=1977.5s
completed 364/500 image_id=26924 elapsed=1983.2s
completed 365/500 image_id=200770 elapsed=1988.6s
completed 366/500 image_id=72421 elapsed=1993.8s
completed 367/500 image_id=509192 elapsed=1999.5s
completed 368/500 image_id=458879 elapsed=2005.2s
completed 369/500 image_id=318496 elapsed=2010.7s
completed 370/500 image_id=403813 elapsed=2015.8s
completed 371/500 image_id=348302 elapsed=2021.3s
completed 372/500 image_id=531431 elapsed=2026.8s
completed 373/500 image_id=382342 elapsed=2032.5s
completed 374/500 image_id=570117 elapsed=2038.0s
completed 375/500 image_id=381426 elapsed=2043.5s
completed 376/500 image_id=374976 elapsed=2049.0s
completed 377/500 image_id=421616 elapsed=2054.6s
completed 378/500 image_id=34961 elapsed=2060.1s
completed 379/500 image_id=47419 elapsed=2065.8s
completed 380/500 image_id=284349 elapsed=2071.5s
completed 381/500 image_id=83481 elapsed=2077.0s
completed 382/500 image_id=315610 elapsed=2082.7s
completed 383/500 image_id=173001 elapsed=2088.3s
completed 384/500 image_id=96306 elapsed=2093.9s
completed 385/500 image_id=36653 elapsed=2099.4s
completed 386/500 image_id=320078 elapsed=2104.9s
completed 387/500 image_id=469824 elapsed=2110.5s
completed 388/500 image_id=231029 elapsed=2116.0s
completed 389/500 image_id=349138 elapsed=2121.3s
completed 390/500 image_id=518645 elapsed=2127.0s
completed 391/500 image_id=250698 elapsed=2132.7s
completed 392/500 image_id=14862 elapsed=2138.4s
completed 393/500 image_id=444024 elapsed=2143.9s
completed 394/500 image_id=139345 elapsed=2149.6s
completed 395/500 image_id=149079 elapsed=2155.2s
completed 396/500 image_id=310674 elapsed=2161.0s
completed 397/500 image_id=258476 elapsed=2166.7s
completed 398/500 image_id=169365 elapsed=2172.2s
completed 399/500 image_id=232596 elapsed=2177.4s
completed 400/500 image_id=305323 elapsed=2182.8s
completed 401/500 image_id=140073 elapsed=2188.5s
completed 402/500 image_id=367201 elapsed=2194.1s
completed 403/500 image_id=570938 elapsed=2199.6s
completed 404/500 image_id=41577 elapsed=2205.2s
completed 405/500 image_id=248235 elapsed=2210.7s
completed 406/500 image_id=502370 elapsed=2216.2s
completed 407/500 image_id=90991 elapsed=2221.8s
completed 408/500 image_id=38073 elapsed=2227.3s
completed 409/500 image_id=483620 elapsed=2232.9s
completed 410/500 image_id=81447 elapsed=2238.4s
completed 411/500 image_id=395817 elapsed=2244.2s
completed 412/500 image_id=572737 elapsed=2250.0s
completed 413/500 image_id=568846 elapsed=2255.6s
completed 414/500 image_id=434164 elapsed=2261.3s
completed 415/500 image_id=221000 elapsed=2266.8s
completed 416/500 image_id=95674 elapsed=2272.3s
completed 417/500 image_id=280823 elapsed=2277.9s
completed 418/500 image_id=44464 elapsed=2283.1s
completed 419/500 image_id=456572 elapsed=2288.8s
completed 420/500 image_id=554597 elapsed=2294.4s
completed 421/500 image_id=308433 elapsed=2299.6s
completed 422/500 image_id=408192 elapsed=2305.4s
completed 423/500 image_id=513073 elapsed=2311.2s
completed 424/500 image_id=110735 elapsed=2316.7s
completed 425/500 image_id=220991 elapsed=2322.1s
completed 426/500 image_id=188889 elapsed=2327.6s
completed 427/500 image_id=479880 elapsed=2333.3s
completed 428/500 image_id=69587 elapsed=2338.8s
completed 429/500 image_id=192077 elapsed=2344.4s
completed 430/500 image_id=287841 elapsed=2350.1s
completed 431/500 image_id=81576 elapsed=2355.6s
completed 432/500 image_id=442670 elapsed=2361.3s
completed 433/500 image_id=120347 elapsed=2367.0s
completed 434/500 image_id=464744 elapsed=2372.6s
completed 435/500 image_id=101863 elapsed=2378.0s
completed 436/500 image_id=347389 elapsed=2383.6s
completed 437/500 image_id=484229 elapsed=2389.1s
completed 438/500 image_id=287406 elapsed=2394.8s
completed 439/500 image_id=312608 elapsed=2400.3s
completed 440/500 image_id=223357 elapsed=2405.7s
completed 441/500 image_id=213532 elapsed=2411.4s
completed 442/500 image_id=5564 elapsed=2417.1s
completed 443/500 image_id=349892 elapsed=2423.2s
completed 444/500 image_id=212629 elapsed=2428.7s
completed 445/500 image_id=182027 elapsed=2434.3s
completed 446/500 image_id=271364 elapsed=2439.8s
completed 447/500 image_id=398260 elapsed=2445.3s
completed 448/500 image_id=311304 elapsed=2450.7s
completed 449/500 image_id=313508 elapsed=2456.0s
completed 450/500 image_id=540892 elapsed=2461.4s
completed 451/500 image_id=187465 elapsed=2466.8s
completed 452/500 image_id=59581 elapsed=2472.1s
completed 453/500 image_id=177824 elapsed=2477.5s
completed 454/500 image_id=270376 elapsed=2483.2s
completed 455/500 image_id=97367 elapsed=2488.9s
completed 456/500 image_id=217458 elapsed=2494.3s
completed 457/500 image_id=418069 elapsed=2499.8s
completed 458/500 image_id=210976 elapsed=2505.5s
completed 459/500 image_id=421208 elapsed=2511.0s
completed 460/500 image_id=446898 elapsed=2516.6s
completed 461/500 image_id=160671 elapsed=2522.1s
completed 462/500 image_id=384362 elapsed=2527.3s
completed 463/500 image_id=253718 elapsed=2532.8s
completed 464/500 image_id=322391 elapsed=2538.4s
completed 465/500 image_id=57866 elapsed=2544.0s
completed 466/500 image_id=189919 elapsed=2549.6s
completed 467/500 image_id=500317 elapsed=2555.3s
completed 468/500 image_id=263393 elapsed=2561.0s
completed 469/500 image_id=477466 elapsed=2566.7s
completed 470/500 image_id=78457 elapsed=2572.2s
completed 471/500 image_id=197350 elapsed=2577.9s
completed 472/500 image_id=500099 elapsed=2583.4s
completed 473/500 image_id=293086 elapsed=2589.0s
completed 474/500 image_id=532912 elapsed=2594.7s
completed 475/500 image_id=325894 elapsed=2600.2s
completed 476/500 image_id=526927 elapsed=2605.5s
completed 477/500 image_id=124466 elapsed=2611.1s
completed 478/500 image_id=369567 elapsed=2616.9s
completed 479/500 image_id=72126 elapsed=2622.3s
completed 480/500 image_id=478260 elapsed=2628.0s
completed 481/500 image_id=97427 elapsed=2633.7s
completed 482/500 image_id=89318 elapsed=2639.3s
completed 483/500 image_id=40934 elapsed=2645.0s
completed 484/500 image_id=193594 elapsed=2650.4s
completed 485/500 image_id=50507 elapsed=2656.2s
completed 486/500 image_id=225455 elapsed=2661.9s
completed 487/500 image_id=111612 elapsed=2667.6s
completed 488/500 image_id=344187 elapsed=2673.1s
completed 489/500 image_id=371650 elapsed=2678.8s
completed 490/500 image_id=308180 elapsed=2684.5s
completed 491/500 image_id=553871 elapsed=2690.3s
completed 492/500 image_id=294002 elapsed=2695.8s
completed 493/500 image_id=403114 elapsed=2701.5s
completed 494/500 image_id=541025 elapsed=2707.0s
completed 495/500 image_id=395187 elapsed=2712.4s
completed 496/500 image_id=49819 elapsed=2718.1s
completed 497/500 image_id=146841 elapsed=2723.9s
completed 498/500 image_id=561011 elapsed=2729.6s
completed 499/500 image_id=306030 elapsed=2735.2s
completed 500/500 image_id=60547 elapsed=2740.9s
loading annotations into memory...
Done (t=8.77s)
creating index...
index created!
Official aggregate/block evaluation gamma_s1_no_adapt
Loading and preparing results...
DONE (t=0.10s)
creating index...
index created!
Running per image evaluation...
Evaluate annotation type *bbox*
DONE (t=1.82s).
Accumulating evaluation results...
DONE (t=0.52s).
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.478
 Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.727
 Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.524
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.340
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.557
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.598
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ] = 0.365
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.572
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.601
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.439
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.658
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.718
Loading and preparing results...
DONE (t=0.01s)
creating index...
index created!
Running per image evaluation...
Evaluate annotation type *bbox*
DONE (t=0.35s).
Accumulating evaluation results...
DONE (t=0.26s).
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.547
 Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.781
